team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Felipe\Felipe,br BRA,DF,31,4,3,311,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,João Félix\Joao-Felix,pt POR,FW,20,4,3,276,1,1,0,0,1,0,0.33,0.33,0.65,0.33,0.65,0.9,0.9,0.6,0.28,0.20,0.48,0.28,0.48,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Renan Lodi\Renan-Lodi,br BRA,DF,22,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Stefan Savić\Stefan-Savic,me MNE,DF,29,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Ángel Correa\Angel-Correa,ar ARG,MF,25,4,3,266,1,2,0,0,0,0,0.34,0.68,1.02,0.34,1.02,0.2,0.2,0.5,0.07,0.18,0.26,0.07,0.26,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Saúl Ñíguez\Saul-Niguez,es ESP,MF,25,3,3,254,0,0,0,1,1,0,0.00,0.00,0.00,0.00,0.00,1.0,0.0,0.0,0.34,0.01,0.35,0.01,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Koke\Koke,es ESP,MF,28,4,3,251,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.17,0.11,0.27,0.17,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Luis Suárez\Luis-Suarez,uy URU,FW,33,4,3,215,3,1,0,0,0,0,1.26,0.42,1.67,1.26,1.67,1.6,1.6,0.4,0.68,0.15,0.83,0.68,0.83,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Thomas Partey\Thomas-Partey,gh GHA,MF,27,3,2,200,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.03,0.00,0.03,0.03,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Mario Hermoso\Mario-Hermoso,es ESP,DF,25,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Diego Costa\Diego-Costa,es ESP,FW,31,4,2,168,1,0,0,0,1,0,0.54,0.00,0.54,0.54,0.54,0.5,0.5,0.3,0.25,0.16,0.42,0.25,0.42,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Yannick Carrasco\Yannick-Carrasco,be BEL,MF,26,4,1,147,1,0,0,0,0,0,0.61,0.00,0.61,0.61,0.61,0.2,0.2,0.9,0.15,0.52,0.67,0.15,0.67,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,25,4,1,127,1,1,0,0,0,0,0.71,0.71,1.42,0.71,1.42,0.5,0.5,0.1,0.36,0.04,0.40,0.36,0.40,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Lucas Torreira\Lucas-Torreira,uy URU,MF,24,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Thomas Lemar\Thomas-Lemar,fr FRA,MF,24,2,1,78,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Vitolo\Vitolo,es ESP,MF,30,2,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.16,0.16,0.00,0.16,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,19,1,1,49,0,1,0,0,0,0,0.00,1.84,1.84,0.00,1.84,0.0,0.0,0.3,0.00,0.61,0.61,0.00,0.61,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atletico,Héctor Herrera\Hector-Herrera,mx MEX,FWMF,30,2,0,29,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
